CRN,ARRIVAL_TM,AUTOMOBILE_COUNT,BELTED_DEATH_COUNT,BELTED_SUSP_SERIOUS_INJ_COUNT,BICYCLE_COUNT,BICYCLE_DEATH_COUNT,BICYCLE_SUSP_SERIOUS_INJ_COUNT,BUS_COUNT,CHLDPAS_DEATH_COUNT,CHLDPAS_SUSP_SERIOUS_INJ_COUNT,COLLISION_TYPE,COMM_VEH_COUNT,CONS_ZONE_SPD_LIM,COUNTY,CRASH_MONTH,CRASH_YEAR,DAY_OF_WEEK,DEC_LAT,DEC_LONG,DISPATCH_TM,DISTRICT,DRIVER_COUNT_16YR,DRIVER_COUNT_17YR,DRIVER_COUNT_18YR,DRIVER_COUNT_19YR,DRIVER_COUNT_20YR,DRIVER_COUNT_50_64YR,DRIVER_COUNT_65_74YR,DRIVER_COUNT_75PLUS,EST_HRS_CLOSED,FATAL_COUNT,HEAVY_TRUCK_COUNT,HORSE_BUGGY_COUNT,HOUR_OF_DAY,ILLUMINATION,INJURY_COUNT,INTERSECT_TYPE,INTERSECTION_RELATED,LANE_CLOSED,LATITUDE,LN_CLOSE_DIR,LOCATION_TYPE,LONGITUDE,MAX_SEVERITY_LEVEL,MCYCLE_DEATH_COUNT,MCYCLE_SUSP_SERIOUS_INJ_COUNT,MOTORCYCLE_COUNT,MUNICIPALITY,NONMOTR_COUNT,NONMOTR_DEATH_COUNT,NONMOTR_SUSP_SERIOUS_INJ_COUNT,NTFY_HIWY_MAINT,PED_COUNT,PED_DEATH_COUNT,PED_SUSP_SERIOUS_INJ_COUNT,PERSON_COUNT,POLICE_AGCY,POSSIBLE_INJ_COUNT,RDWY_SURF_TYPE_CD,RELATION_TO_ROAD,ROAD_CONDITION,ROADWAY_CLEARED,SCH_BUS_IND,SCH_ZONE_IND,SECONDARY_CRASH,SMALL_TRUCK_COUNT,SPEC_JURIS_CD,SUSP_MINOR_INJ_COUNT,SUSP_SERIOUS_INJ_COUNT,SUV_COUNT,TCD_FUNC_CD,TCD_TYPE,TFC_DETOUR_IND,TIME_OF_DAY,TOT_INJ_COUNT,TOTAL_UNITS,UNB_DEATH_COUNT,UNB_SUSP_SERIOUS_INJ_COUNT,UNBELTED_OCC_COUNT,UNK_INJ_DEG_COUNT,UNK_INJ_PER_COUNT,URBAN_AREA,URBAN_RURAL,VAN_COUNT,VEHICLE_COUNT,WEATHER1,WEATHER2,WORK_ZONE_IND,WORK_ZONE_LOC,WORK_ZONE_TYPE,WORKERS_PRES,WZ_CLOSE_DETOUR,WZ_FLAGGER,WZ_LAW_OFFCR_IND,WZ_LN_CLOSURE,WZ_MOVING,WZ_OTHER,WZ_SHLDER_MDN,WZ_WORKERS_INJ_KILLED
2022082639,1120.0,0,0,0,0,0,0,0,0,0,1,0,,67,7,2022,1,39.9903,-75.2053,1120.0,6,0,0,0,0,0,0,0,0,,0,0,0.0,11,1,1,0,N,0,39 59:25.130,,0,75 12:19.157,3,0,0,0,67301,0,0,0,N,0,0,0,5,68K01,0,,1,1,,N,N,N,0,,1,0,2,0,0,,1120,1,3,0,0,0,0,0,3,4,0,3,3,3.0,N,,,,,,,,,,,
2022070437,610.0,1,0,0,0,0,0,0,0,0,6,0,,67,8,2022,2,40.0442,-75.0692,601.0,6,0,0,0,0,0,0,0,0,,0,0,0.0,5,5,0,0,N,1,40 02:39.040,4.0,0,75 04:09.070,0,0,0,0,67301,0,0,0,N,0,0,0,1,67301,0,,6,9,707.0,N,N,N,0,,0,0,4,0,0,N,552,0,5,0,0,0,0,0,3,4,0,5,7,,N,,,,,,,,,,,
2022072211,1336.0,0,0,0,0,0,0,0,0,0,4,0,,67,8,2022,3,40.0818,-75.0305,1331.0,6,0,0,0,0,0,0,0,1,,0,0,0.0,13,1,1,1,,0,40 04:54.545,,0,75 01:49.687,3,0,0,1,67301,0,0,0,N,0,0,0,2,67301,0,,1,1,,N,N,N,0,,1,0,1,3,2,,1330,1,2,0,0,0,0,0,3,4,0,2,3,3.0,N,,,,,,,,,,,
2022082586,720.0,1,0,0,0,0,0,0,0,0,1,0,,67,8,2022,6,39.8981,-75.1833,711.0,6,0,0,0,0,0,0,0,0,,0,0,0.0,7,1,0,0,N,0,39 53:53.133,,0,75 10:59.950,0,0,0,0,67301,0,0,0,N,0,0,0,2,68K01,0,,1,1,,N,N,N,1,,0,0,0,0,0,,708,0,2,0,0,0,0,0,3,4,0,2,3,3.0,N,,,,,,,,,,,
2022072203,1935.0,1,0,0,0,0,0,0,0,0,8,0,,67,8,2022,5,39.9271,-75.1648,1932.0,6,0,0,0,0,0,1,0,0,,0,0,0.0,19,4,1,2,,0,39 55:37.473,,0,75 09:53.240,4,0,0,0,67301,1,0,0,N,1,0,0,2,67301,1,,1,1,,N,N,N,0,,0,0,0,0,0,,1920,1,2,0,0,0,0,0,3,4,0,1,3,,N,,,,,,,,,,,
2022082190,1720.0,2,0,0,0,0,0,0,0,0,1,0,,67,8,2022,1,39.9454,-75.1905,1700.0,6,0,0,0,0,0,0,1,0,,0,0,0.0,16,1,0,0,N,0,39 56:43.397,,0,75 11:25.798,0,0,0,0,67301,0,0,0,N,0,0,0,9,68K01,0,,1,1,,N,N,N,0,,0,0,1,0,0,,1659,0,3,0,0,0,0,0,3,4,0,3,3,3.0,N,,,,,,,,,,,
2022070551,1638.0,2,0,0,0,0,0,0,0,0,1,0,,67,8,2022,2,39.9175,-75.2128,1638.0,6,0,0,0,0,0,0,0,0,,0,0,0.0,16,1,0,0,N,1,39 55:02.918,3.0,0,75 12:46.047,0,0,0,0,67301,0,0,0,N,0,0,0,1,67301,0,,1,1,1700.0,N,N,N,0,,0,0,0,0,0,N,1603,0,2,0,0,0,0,0,3,4,0,2,4,,N,,,,,,,,,,,
2022075789,1514.0,2,0,0,0,0,0,0,0,0,4,0,,67,8,2022,7,39.9717,-75.1259,1513.0,6,0,0,0,0,0,0,0,0,,0,0,0.0,14,1,1,1,,1,39 58:18.518,6.0,0,75 07:33.433,3,0,0,0,67301,0,0,0,N,0,0,0,4,67301,0,,1,1,130.0,N,N,N,0,,1,0,0,3,2,N,1449,1,2,0,0,0,0,0,3,4,0,2,3,,N,,,,,,,,,,,
2022072242,830.0,1,0,0,0,0,0,0,0,0,1,1,,67,8,2022,2,40.0541,-75.049,819.0,6,0,0,0,0,0,0,0,0,,0,1,0.0,7,1,1,1,,0,40 03:14.734,,0,75 02:56.553,3,0,0,0,67301,0,0,0,N,0,0,0,3,67301,0,,1,99,,N,N,N,0,,1,0,1,3,2,,705,1,3,0,0,0,0,2,3,4,0,3,99,,N,,,,,,,,,,,
2022082026,2355.0,3,0,0,0,0,0,0,0,0,4,0,,67,8,2022,1,39.9605,-75.2416,2355.0,6,0,0,0,0,0,0,0,0,,0,0,0.0,23,3,0,0,N,0,39 57:37.808,,0,75 14:29.585,9,0,0,0,67301,0,0,0,N,0,0,0,1,67301,0,,4,9,,N,N,N,0,,0,0,0,0,0,,2355,0,3,0,0,1,0,1,3,4,0,3,7,7.0,N,,,,,,,,,,,
2022069937,1046.0,1,0,0,0,0,0,0,0,0,1,0,,67,7,2022,7,39.9993,-75.0986,1046.0,6,0,0,0,1,0,0,0,0,,0,0,0.0,10,1,0,0,Y,0,39 59:57.430,,0,75 05:55.124,0,0,0,0,67301,0,0,0,N,0,0,0,3,67301,0,,1,1,,N,N,N,0,,0,0,2,3,2,,1046,0,3,0,0,3,0,0,3,4,0,3,3,3.0,N,,,,,,,,,,,
2022078306,2020.0,1,0,0,0,0,0,1,0,0,5,1,,67,6,2022,5,39.9964,-75.1135,2020.0,6,0,0,0,0,0,0,0,0,,0,0,0.0,20,4,1,5,,0,39 59:47.175,,1,75 06:48.425,4,0,0,0,67301,0,0,0,N,0,0,0,3,67508,1,,1,1,,N,N,N,0,,0,0,0,3,2,,2015,1,2,0,0,1,0,1,3,4,0,2,3,3.0,N,,,,,,,,,,,
2022068587,1826.0,0,0,1,0,0,0,0,0,0,4,0,,67,7,2022,6,40.0299,-75.0878,1825.0,6,0,0,0,0,0,1,0,0,,0,0,0.0,18,1,1,1,,0,40 01:47.633,,0,75 05:16.085,2,0,0,0,67301,0,0,0,N,0,0,0,2,67301,0,,1,1,,N,N,N,1,,0,1,1,3,2,,1825,1,2,0,0,0,0,0,3,4,0,2,3,,N,,,,,,,,,,,
2022069201,2222.0,0,0,0,0,0,0,0,0,0,7,0,,67,7,2022,4,40.0059,-75.1519,2218.0,6,0,0,0,0,0,0,0,0,,0,0,0.0,22,3,1,0,N,0,40 00:21.229,,0,75 09:06.699,8,0,0,0,67301,0,0,0,N,0,0,0,1,67505,0,,5,1,,N,N,N,0,,0,0,0,0,0,,2218,1,1,0,0,0,1,0,3,4,1,1,3,3.0,N,,,,,,,,,,,
2022076696,1205.0,0,0,0,1,0,0,0,0,0,3,0,,67,8,2022,6,39.9926,-75.1206,1200.0,6,0,0,0,0,0,0,0,0,,0,0,0.0,0,3,1,0,N,0,39 59:33.280,,1,75 07:13.980,3,0,0,0,67301,1,0,0,N,0,0,0,2,67301,0,,1,1,,N,N,N,0,,1,0,0,0,0,,30,1,2,0,0,0,0,0,3,4,0,1,3,,N,,,,,,,,,,,
2022070465,4.0,0,0,0,0,0,0,0,0,0,4,0,,67,8,2022,2,40.0462,-75.1661,2358.0,6,0,0,0,0,0,0,1,0,,0,0,0.0,22,3,1,1,,0,40 02:46.469,,0,75 09:57.857,3,0,0,0,67301,0,0,0,N,0,0,0,2,67301,0,,1,1,,N,N,N,0,,1,0,2,3,3,,2235,1,2,0,0,0,0,0,3,4,0,2,3,3.0,N,,,,,,,,,,,
2022072231,2120.0,2,0,0,0,0,0,0,0,0,1,0,,67,8,2022,7,39.9182,-75.2088,2120.0,6,0,0,0,0,0,0,0,0,,0,0,0.0,20,3,2,2,,0,39 55:05.829,,0,75 12:32.558,3,0,0,0,67301,0,0,0,N,0,0,0,5,67301,1,,1,1,,N,N,N,0,,1,0,1,3,2,,2054,2,3,0,0,2,0,0,3,4,0,3,3,3.0,N,,,,,,,,,,,
2022072207,1925.0,0,0,0,1,0,0,0,0,0,4,0,,67,8,2022,2,39.9456,-75.165,1921.0,6,0,0,0,0,0,0,0,0,,0,0,0.0,19,1,1,1,,0,39 56:44.085,,0,75 09:54.490,4,0,0,0,67301,1,0,0,N,0,0,0,2,67301,1,,1,1,,N,N,N,0,,0,0,0,3,2,,1921,1,2,0,0,0,0,0,3,4,0,1,3,3.0,N,,,,,,,,,,,
2022081499,833.0,1,0,0,0,0,0,0,0,0,1,0,,67,8,2022,4,39.9806,-75.2057,823.0,6,0,1,0,0,0,0,0,0,,0,0,0.0,8,1,0,0,N,1,39 58:50.091,4.0,0,75 12:20.651,0,0,0,0,67301,0,0,0,N,0,0,0,3,68K01,0,,1,1,643.0,N,N,N,0,,0,0,1,0,0,N,817,0,2,0,0,0,0,0,3,4,0,2,3,,N,,,,,,,,,,,
2022081105,1349.0,1,0,0,0,0,0,0,0,0,1,0,,67,8,2022,5,39.9582,-75.1641,1335.0,6,0,0,0,0,0,2,2,0,,0,0,0.0,13,1,0,0,N,0,39 57:29.372,,0,75 09:50.751,0,0,0,0,67301,0,0,0,N,0,0,0,4,68K01,0,,1,1,,N,N,N,1,,0,0,2,0,0,,1330,0,4,0,0,0,0,0,3,4,0,4,3,3.0,N,,,,,,,,,,,
2022077074,527.0,1,0,0,0,0,0,0,0,0,8,0,,67,8,2022,4,39.9504,-75.1926,527.0,6,0,0,0,0,0,0,0,0,,0,0,0.0,5,5,1,1,,0,39 57:01.583,,0,75 11:33.306,3,0,0,0,67301,1,0,0,N,1,0,0,2,67504,0,,1,1,,N,N,N,0,,1,0,0,3,2,,527,1,2,0,0,0,0,0,3,4,0,1,3,3.0,N,,,,,,,,,,,
2022069159,1506.0,1,0,0,0,0,0,0,0,0,5,0,,67,7,2022,2,39.9434,-75.1488,1502.0,6,0,0,0,0,0,0,0,1,,0,0,0.0,14,1,1,0,N,2,39 56:36.130,2.0,0,75 08:55.630,3,0,0,0,67301,0,0,0,N,0,0,0,1,67301,0,,6,1,1525.0,N,N,N,0,,1,0,2,0,0,Y,1458,1,3,0,0,0,0,0,3,4,0,3,3,3.0,N,,,,,,,,,,,
2022080246,1831.0,0,0,0,0,0,0,0,0,0,8,0,,67,8,2022,4,39.9679,-75.1652,1825.0,6,0,0,0,0,0,0,0,0,,0,0,0.0,16,1,1,2,,0,39 58:04.432,,0,75 09:54.662,3,0,0,0,67301,1,0,0,N,1,0,0,2,67301,0,,1,1,,N,N,N,0,,1,0,1,0,0,,1600,1,2,0,0,0,0,1,3,4,0,1,3,3.0,N,,,,,,,,,,,
2022079328,1536.0,1,0,0,0,0,0,0,0,0,4,0,,67,8,2022,3,39.9703,-75.1466,1532.0,6,0,0,0,0,0,0,0,0,,0,0,0.0,15,1,3,1,,0,39 58:13.489,,0,75 08:47.550,3,0,0,0,67301,0,0,0,N,0,0,0,5,67301,2,,1,1,,N,N,N,0,,1,0,1,2,2,,1514,3,2,0,0,2,0,0,3,4,0,2,3,3.0,N,,,,,,,,,,,
2022078872,1805.0,0,0,0,0,0,0,0,0,0,4,0,,67,8,2022,1,40.0875,-74.9711,1801.0,6,0,0,0,0,0,1,0,0,,0,0,0.0,17,1,1,1,,0,40 05:15.133,,0,74 58:16.083,3,0,0,0,67301,0,0,0,N,0,0,0,4,67301,0,,1,1,,N,N,N,1,,1,0,1,3,2,,1746,1,2,0,0,0,0,0,3,4,0,2,3,,N,,,,,,,,,,,
